name,slug,sku,brand,category_slug,price_cents,primary_image_url,description_html
"סט ברז מטבח נשלף כרום","kitchen-pullout-chrome","FC-KI-001","Hamat","faucets",74900,"/placeholders/p0.png","<p>ברז מטבח כרום נשלף עם ראש ספריי.</p>"
"מאסף פליז 1 אינץ׳ שש יציאות","brass-manifold-1inch","PL-MF-100","Unidelta","plumbing",21900,"/placeholders/p0.png","<p>מאסף 6 יציאות לחיבור מהיר.</p>"
"מחבר פלסון T 40 מ""מ","plasson-tee-40","PF-TE-040","Plasson","plasson-fittings",1890,"/placeholders/p0.png","<p>טי פלסון בקוטר 40 מ""מ עבור מערכות השקיה.</p>"
"ניאגרה סמויה Sigma 12","sigma-concealed-cistern-12","CC-SI-012","Geberit","concealed-cisterns",118900,"/placeholders/p0.png","<p>ערכת ניאגרה סמויה קומפלט עם כפתור Sigma.</p>"
"צינור SP PEX 25 מ""מ","sp-pex-tube-25","SP-TU-025","SP Systems","sp-pex",3250,"/placeholders/p0.png","<p>צינור SP PEX בקוטר 25 מ""מ.</p>"
"מקדח יהלום לקיר 65 מ""מ","diamond-bit-65","TT-DB-065","Total","total-tools",44900,"/placeholders/p0.png","<p>מקדח יהלום לקירות בטון 65 מ""מ.</p>"
"סנן פחם תעשייתי 20 אינץ׳","industrial-carbon-filter-20","FW-CF-020","Hydra","filters-water-systems",56900,"/placeholders/p0.png","<p>סינון פחם תעשייתי לקווי אספקת מים.</p>"
"כיור אבנים טבעיות 70 ס""מ","stone-basin-70","SC-SB-070","Cheres","sinks-cheres",129900,"/placeholders/p0.png","<p>כיור אבנים טבעיות בעיצוב יוקרתי.</p>"
"מושב אסלה פרימיום עם בידה","toilet-seat-bidet","TS-BI-PR","Bemis","toilet-seats",34900,"/placeholders/p0.png","<p>מושב בידה מובנה לנוחות מירבית.</p>"
"משאבת מים צנטריפוגלית 2HP","centrifugal-pump-2hp","WP-CP-2HP","Pedrollo","water-pumps",248000,"/placeholders/p0.png","<p>משאבת מים צנטריפוגלית להספק גבוה.</p>"
"מסנן משקע 1 מיקרון","sediment-filter-1micron","FW-SF-001","AquaClear","filters-water-systems",8900,"/placeholders/p0.png","<p>מסנן משקע עדין למערכות ביתיות.</p>"
"ברז אמבט פרח זהב","golden-bath-faucet","FC-BA-GL","Hansgrohe","faucets",99800,"/placeholders/p0.png","<p>ברז אמבט פרח בציפוי זהב.</p>"
"צינור PPR 50 מ""מ","ppr-pipe-50","PPR-PI-050","Aquatherm","ppr-multilayer",4490,"/placeholders/p0.png","<p>צינור PPR בקוטר 50 מ""מ למערכות מים.</p>"
"סט פתיחת סתימות Total","total-drain-kit","TT-DR-KIT","Total","total-tools",28900,"/placeholders/p0.png","<p>ערכת פתיחת סתימות למקצוענים ולחובבים.</p>"
"זוית ניקוז פינה ליפסקי","lipsky-corner-drain","LD-CD-090","Lipsky","lipsky-drainage",23900,"/placeholders/p0.png","<p>זוית ניקוז מדרכה מבית ליפסקי.</p>"
